,City,Cloudiness %,Coutry,Date,Humidity %,Latitude,Long,Temperature (F),Wind Speed (mph)
0,Turbat,85,PK,1567105830.0,56,26.0,63.05,85.55,8.66
1,Guadalupe y Calvo,53,MX,1567105864.0,43,26.09,-106.96,77.09,5.57
2,Saskylakh,71,RU,1567105747.0,83,71.97,114.09,37.49,4.12
3,Palmer,75,US,1567105502.0,71,61.6,-149.11,60.01,4.7
4,Berezovyy,100,RU,1567105418.0,98,51.67,135.7,53.33,3.49
6,Slave Lake,1,CA,1567105866.0,82,55.28,-114.77,55.4,5.82
7,Nanakuli,1,US,1567105866.0,62,21.39,-158.15,84.2,4.7
8,Poya,100,NC,1567105574.0,77,-21.35,165.16,69.89,17.72
10,Longyearbyen,75,SJ,1567105408.0,81,78.22,15.64,48.2,23.04
11,New Norfolk,20,AU,1567105573.0,80,-42.78,147.06,41.0,9.17
12,Saint-Philippe,90,RE,1567105667.0,68,-21.36,55.77,73.4,5.82
13,Cape Town,75,ZA,1567105429.0,62,-33.93,18.42,55.99,3.36
14,Upernavik,8,GL,1567105570.0,80,72.79,-56.15,42.35,2.39
15,Manoel Urbano,30,BR,1567105869.0,40,-8.84,-69.26,91.85,2.1
17,Paamiut,0,GL,1567105701.0,60,61.99,-49.67,46.67,25.37
18,Lompoc,1,US,1567105683.0,77,34.64,-120.46,82.0,8.05
19,Yellowknife,75,CA,1567105616.0,66,62.45,-114.38,50.0,8.05
20,Rikitea,88,PF,1567105596.0,78,-23.12,-134.97,70.07,23.53
21,Provideniya,100,RU,1567105398.0,90,64.42,-173.23,45.59,4.9
22,Zonguldak,0,TR,1567105871.0,75,41.25,31.83,75.83,19.15
23,Champerico,20,GT,1567105718.0,52,14.3,-91.92,91.4,9.17
25,Avarua,46,CK,1567105604.0,68,-21.21,-159.78,71.6,8.05
26,Kampot,75,KH,1567105872.0,83,10.62,104.18,82.4,17.22
27,Vuktyl,74,RU,1567105873.0,86,63.86,57.31,39.11,8.93
28,Hutchinson,1,US,1567105624.0,49,38.06,-97.93,93.0,17.22
29,Clonakilty,75,IE,1567105874.0,82,51.62,-8.87,60.8,13.87
30,Chokurdakh,100,RU,1567105584.0,84,70.62,147.9,34.97,5.53
31,Abu Dhabi,0,AE,1567105875.0,63,24.47,54.37,95.0,5.82
32,Kirakira,98,SB,1567105550.0,80,-10.46,161.92,77.45,2.77
33,Qaanaaq,100,GL,1567105607.0,87,77.48,-69.36,40.73,10.74
34,Papenburg,27,DE,1567105876.0,72,53.08,7.39,69.01,2.24
35,Hermanus,99,ZA,1567105583.0,75,-34.42,19.24,53.01,11.54
36,Tazovskiy,100,RU,1567105642.0,93,67.47,78.7,42.35,9.64
37,Bon Accord,75,CA,1567105877.0,67,53.84,-113.41,63.0,3.36
38,Busselton,39,AU,1567105581.0,60,-33.64,115.35,57.99,26.49
39,Albany,90,AU,1567105590.0,87,-35.02,117.88,57.2,13.87
40,East London,75,ZA,1567105348.0,63,-33.02,27.91,62.6,10.29
41,Derzhavinsk,43,KZ,1567105881.0,77,51.1,66.31,53.87,12.82
42,Kieta,95,PG,1567105834.0,79,-6.22,155.63,78.89,5.37
43,Havelock,20,US,1567105412.0,43,34.88,-76.9,90.0,8.05
44,Ushuaia,75,AR,1567105585.0,75,-54.81,-68.31,41.0,23.04
45,Ugoofaaru,100,MV,1567105472.0,71,5.67,73.0,82.31,11.65
46,Lorengau,23,PG,1567105584.0,80,-2.02,147.27,80.87,10.83
47,Butaritari,100,KI,1567105600.0,70,3.07,172.79,83.57,5.82
48,Man,89,CI,1567105883.0,97,7.41,-7.55,70.25,2.39
49,San Juan,75,US,1567105800.0,37,26.19,-98.16,99.0,6.93
50,Alofi,42,NU,1567105884.0,88,-19.06,-169.92,66.2,3.36
51,Severo-Kurilsk,100,RU,1567105648.0,97,50.68,156.12,50.45,6.55
52,Ribeira Grande,20,PT,1567105659.0,69,38.52,-28.7,73.4,4.7
53,Timmins,75,CA,1567105885.0,59,48.48,-81.33,62.6,9.17
54,Hobart,20,AU,1567105545.0,80,-42.88,147.33,41.0,9.17
55,Kapaa,20,US,1567105605.0,70,22.08,-159.32,84.2,5.82
